root_V left_tip_V right_tip_V middle_V root_AMPA_open middle_AMPA_Open smooth_AMPA_Open t
-0.060090452339108306 -0.060090496207723575 -0.06009173415098863 -0.06009263939145391 0.0 0.0 0.0 0.0076
-0.060092735427618865 -0.06009277918611795 -0.060094014021976845 -0.06009491699016533 0.0 0.0 0.0 0.0078000000000000005
-0.06009501278526632 -0.06009505643392562 -0.060096288170178355 -0.060097188871793744 0.0 0.0 0.0 0.008
-0.06008797306189377 -0.06009025863785006 -0.060096363966141854 -0.060099216178380335 0.0 0.0 0.0 0.0082
-0.06009255172590962 -0.0600931972866078 -0.06009668415708742 -0.060099897138901126 0.0 0.0 0.0 0.008400000000000001
-0.06009559801864018 -0.06009591417615349 -0.060098298183769834 -0.06010065266163426 0.0 0.0 0.0 0.0086
-0.060098238779900365 -0.060098423783318575 -0.060100269527904836 -0.060101986615235886 0.0 0.0 0.0 0.0088
-0.06010069810659827 -0.06010081769309109 -0.06010237748139168 -0.06010372298403261 0.0 0.0 0.0 0.009000000000000001
-0.060103061387100316 -0.06010314607481058 -0.060104549757242755 -0.060105688538780656 0.0 0.0 0.0 0.0092
-0.060105370459394666 -0.06010543617937136 -0.06010675351856685 -0.06010777815507176 0.0 0.0 0.0 0.0094
-0.06010764751091092 -0.06010770285450502 -0.060108971751719836 -0.06010993308239598 0.0 0.0 0.0 0.009600000000000001
-0.060109904560980726 -0.060109954199927214 -0.06011119530525558 -0.060112121100700015 0.0 0.0 0.0 0.0098
-0.05853984864064478 -0.06004276218702675 -0.0601128817115177 -0.06011432058678467 5.0 4.0 7.0 0.01
-0.03541012589953382 -0.05145050619011449 -0.05856958814490908 -0.059982036707178936 19.0 27.0 24.0 0.0102
-0.022261383770006023 -0.038781121664521766 -0.05216214153861993 -0.05804643328842625 30.0 28.0 33.0 0.010400000000000001
-0.015068985498422262 -0.029522288505168755 -0.04417397217930896 -0.05308175171027508 29.0 38.0 36.0 0.0106
-0.010819328709970521 -0.022796326061980798 -0.03664418017148292 -0.046404523229764294 30.0 41.0 38.0 0.0108
-0.007663778063098674 -0.017525396802888074 -0.02996976941052539 -0.03937471488382155 36.0 40.0 37.0 0.011000000000000001
-0.005437789257571203 -0.013220765909554122 -0.024046981710428947 -0.03271800029181746 35.0 38.0 37.0 0.0112
-0.003799255797550713 -0.009644391535295 -0.01881564044255309 -0.026583408681553542 36.0 40.0 36.0 0.0114
-0.0023366204090334726 -0.006713604681026313 -0.014145214470382696 -0.020877003406460527 37.0 38.0 32.0 0.011600000000000001
-0.0012843991580325502 -0.004256139183110277 -0.009970719936900203 -0.015540640510986525 36.0 37.0 34.0 0.0118
-0.0002996521660362169 -0.0022339751984544955 -0.006181186442358331 -0.010389073105398262 35.0 36.0 34.0 0.012
0.0005158818924943733 -0.0005028607239873931 -0.0030527956915772413 -0.005821125805563237 35.0 34.0 33.0 0.0122
0.0012165068722532859 0.000935001760680084 -0.00044406772222410786 -0.0021182484462291384 32.0 35.0 32.0 0.012400000000000001
-0.000821410886353101 -0.0004673767768981535 0.0010229409370545754 0.0005528679105467932 31.0 34.0 29.0 0.0126
-0.0044033054638981245 -0.0017344635888517392 0.0012279872557986347 0.002248299186852529 29.0 31.0 29.0 0.0128
-0.006806242887805122 -0.006536671695461054 -0.00041673560065348724 0.0029300231920851745 30.0 30.0 28.0 0.013000000000000001
-0.008642999248763609 -0.00973492440171107 -0.0033607153149763816 0.0017354260057427242 32.0 27.0 28.0 0.0132
-0.009727887778563591 -0.011601619079678998 -0.005697478873199808 -0.0003113128914526177 32.0 27.0 27.0 0.0134
